_id;PropertyID;PropType;taxkey;Address;CondoProject;District;nbhd;Style;Extwall;Stories;Year_Built;Rooms;FinishedSqft;Units;Bdrms;Fbath;Hbath;Lotsize;Sale_date;Sale_price
1;98477;Residential;39995000;9574 N 107TH ST;;9;40;Cape Cod;Aluminum/Vinyl;1;1942;7;1182;1;4;1;1;33541;2023-12-15;160000,00
2;98500;Residential;40071000;9531 N MICHAEL CT;;9;40;Ranch;Fiber Cement/Hardiplank;1;2006;9;1880;1;3;2;0;10607;2023-08-31;387500,00
3;98566;Residential;50047000;9350 N JOYCE AV;;9;40;Ranch;Aluminum/Vinyl;1;1980;6;1489;1;3;3;0;8640;2023-08-25;335000,00
4;98598;Residential;50079000;9355 N BURBANK AV;;9;40;Ranch;Aluminum/Vinyl;1;1986;5;1209;1;3;1;1;7200;2023-06-20;250000,00
5;98624;Residential;50105000;8210 W GLENBROOK RD;;9;40;Colonial;Aluminum/Vinyl;2,0;1989;6;1663;1;3;2;1;7200;2023-01-10;270000,00
6;98692;Condominium;70013000;9184 N 70TH ST, Unit 8;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;7;1437;1;4;2;1;0;2023-08-18;107000,00
7;98692;Condominium;70013000;9184 N 70TH ST, Unit 8;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;7;1437;1;4;2;1;0;2023-11-09;150000,00
8;98718;Condominium;70039000;9240 N 70TH ST, Unit 3;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;6;1437;1;3;2;1;0;2023-05-24;155000,00
9;98727;Condominium;70048000;9256 N 70TH ST, Unit 2;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;5;1244;1;2;2;1;0;2023-09-29;125000,00
10;98731;Condominium;70052000;9248 N 70TH ST, Unit 6;NORTHRIDGE WOOD LAKE;9;5010;Condo Ranch;;1;1973;4;898;1;2;1;1;0;2023-06-30;95000,00
11;98754;Condominium;70075000;6993 W GLENBROOK RD, Unit 3;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;6;1244;1;3;2;1;0;2023-04-12;114800,00
12;98766;Condominium;70087000;6987 W GLENBROOK RD, Unit 9;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;7;1437;1;4;2;1;0;2023-03-31;107500,00
13;98772;Condominium;70093000;6951 W GLENBROOK RD, Unit 3;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;6;1244;1;3;2;1;0;2023-04-21;115000,00
14;98775;Condominium;70096000;6957 W GLENBROOK RD, Unit 6;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;5;1253;1;3;1;1;0;2023-03-20;115000,00
15;98783;Condominium;70104000;6921 W GLENBROOK RD, Unit 2;NORTHRIDGE WOOD LAKE;9;5010;Condo Townhouse;;2,0;1973;5;1244;1;3;2;1;0;2023-01-06;100000,00
16;98827;Condominium;310212000;8941 N 70TH ST;NORTHRIDGE EASTBAY;9;5020;Condo Townhouse;;2,0;1973;5;1498;1;3;1;1;1;2023-07-27;164000,00
17;98831;Condominium;310216000;8949 N 70TH ST;NORTHRIDGE EASTBAY;9;5020;Condo Townhouse;;2,0;1973;5;1498;1;3;1;1;1;2023-02-20;123000,00
18;98873;Condominium;310258000;9035 N 70TH ST;NORTHRIDGE EASTBAY;9;5020;Condo Townhouse;;2,0;1973;12;1401;1;6;2;1;1;2023-08-01;135000,00
19;98877;Condominium;310262000;9043 N 70TH ST;NORTHRIDGE EASTBAY;9;5020;Condo Townhouse;;2,0;1973;5;1295;1;2;1;1;1;2023-09-29;110000,00
20;98887;Condominium;310272000;9063 N 70TH ST;NORTHRIDGE EASTBAY;9;5020;Condo Townhouse;;2,0;1973;5;1295;1;2;1;1;1;2023-12-21;122000,00
21;98892;Condominium;310277000;9073 N 70TH ST;NORTHRIDGE EASTBAY;9;5020;Condo Townhouse;;2,0;1973;5;1295;1;2;1;1;1;2023-09-08;135000,00
22;98954;Condominium;310339000;9221 N 70TH ST;NORTHRIDGE EASTBAY;9;5020;Condo Townhouse;;2,0;1973;4;1295;1;2;1;1;1;2023-04-28;87900,00
23;98960;Condominium;310404000;9030 N 70TH ST, Unit 4;NORTHRIDGE THE TREES;9;5030;Condo Townhouse;;2,0;1975;5;1202;1;3;1;1;0;2023-10-20;128000,00
24;98969;Condominium;310413000;9012 N 70TH ST, Unit 7;NORTHRIDGE THE TREES;9;5030;Condo Townhouse;;2,0;1975;12;1420;1;6;2;1;0;2023-01-25;120000,00
25;99025;Residential;310479000;8907 N 70TH ST;;9;40;Bi-Level;Aluminum/Vinyl;1;1984;6;1311;1;3;2;0;7412;2023-12-27;250000,00
