,list-card-link href,list-card-addr,ADDRESS,city,state,Metro,zip,price,sq ft,acreage,pricesqft,list-card-label,list-card-label 2,list-card-variable-text,walkscore,description,LATITUDE,LONGITUDE,list-card-link src,list-card-save-content
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""0 Bayfield Ave, Arverne, NY 11692"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""7,600""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""0 Bayfield Ave"",""addressLocality"":""Arverne"",""addressRegion"":""NY"",""postalCode"":""11692""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.599041,""longitude"":-73.799969},""url"":""https://www.zillow.com/homedetails/0-Bayfield-Ave-Arverne-NY-11692/112518602_zpid/""}",https://www.zillow.com/homedetails/0-Bayfield-Ave-Arverne-NY-11692/112518602_zpid/,"0 Bayfield Ave, Arverne, NY 11692",Bayfield Ave,Arverne,NY,New York,11692,360000,"8,481",0.19,$42.45,sqft lot,,Sold 08/06/2018,44,Car-Dependent,40.599041,-73.799969,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3045 23rd, Astoria, NY 11102"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3045 23rd"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11102""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.768025,""longitude"":-73.927269},""url"":""https://www.zillow.com/homedetails/3045-23rd-Astoria-NY-11102/2077312317_zpid/""}",https://www.zillow.com/homedetails/3045-23rd-Astoria-NY-11102/2077312317_zpid/,"3045 23rd, Astoria, NY 11102",3045 23rd,Astoria,NY,New York,11102,825000,"2,000",0.05,$412.50,sqft lot,,Sold 10/29/2020,97,Walker's Paradise,40.768025,-73.927269,"https://maps.googleapis.com/maps/api/streetview?location=40.768025,-73.927269&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=ARCZzSUXelFSZJCo-Si3tAs3Vmo=",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""18-11 21 Drive, Astoria, NY 11105"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""18-11 21 Drive"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11105""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.782982,""longitude"":-73.918476},""url"":""https://www.zillow.com/homedetails/18-11-21-Drive-Astoria-NY-11105/2086327363_zpid/""}",https://www.zillow.com/homedetails/18-11-21-Drive-Astoria-NY-11105/2086327363_zpid/,"18-11 21 Drive, Astoria, NY 11105",18-11 21 Drive,Astoria,NY,New York,11105,3000000,"3,025",0.07,$991.74,sqft lot,,Sold 01/16/2019,75,Very Walkable,40.782982,-73.918476,"https://maps.googleapis.com/maps/api/streetview?location=40.782982,-73.918476&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=asSasVt1QdtkoPLlwKHsk_hI1zs=",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""18-15 21 Drive, Astoria, NY 11105"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""18-15 21 Drive"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11105""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.782897,""longitude"":-73.91841},""url"":""https://www.zillow.com/homedetails/18-15-21-Drive-Astoria-NY-11105/2086327327_zpid/""}",https://www.zillow.com/homedetails/18-15-21-Drive-Astoria-NY-11105/2086327327_zpid/,"18-15 21 Drive, Astoria, NY 11105",18-15 21 Drive,Astoria,NY,New York,11105,3000000,"2,888",0.07,"$1,038.78",sqft lot,,Sold 01/16/2019,75,Very Walkable,40.782897,-73.91841,"https://maps.googleapis.com/maps/api/streetview?location=40.782897,-73.918410&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=HFyFzaS7A2Tc4HOL6IUyKPWXgNU=",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10297 E Mississippi Ave, Aurora, CO 80247"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10297 E Mississippi Ave"",""addressLocality"":""Aurora"",""addressRegion"":""CO"",""postalCode"":""80247""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":39.697108,""longitude"":-104.869217},""url"":""https://www.zillow.com/homedetails/10297-E-Mississippi-Ave-Aurora-CO-80247/130318028_zpid/""}",https://www.zillow.com/homedetails/10297-E-Mississippi-Ave-Aurora-CO-80247/130318028_zpid/,"10297 E Mississippi Ave, Aurora, CO 80247",10297 E Mississippi Ave,Aurora,CO,Denver,80247,300000,"40,511",0.93,$7.41,acres lot,,Sold 10/08/2020,61,Somewhat Walkable,39.697108,-104.869217,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1571 201st St, Bayside, NY 11360"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,120""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1571 201st St"",""addressLocality"":""Bayside"",""addressRegion"":""NY"",""postalCode"":""11360""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.784455,""longitude"":-73.792578},""url"":""https://www.zillow.com/homedetails/1571-201st-St-Bayside-NY-11360/32054274_zpid/""}",https://www.zillow.com/homedetails/1571-201st-St-Bayside-NY-11360/32054274_zpid/,"1571 201st St, Bayside, NY 11360",1571 201st St,Bayside,NY,New York,11360,863000,"4,730",0.11,$182.45,sqft lot,,Sold 02/21/2019,62,Somewhat Walkable,40.784455,-73.792578,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""28-43 214th Street #lot, Bayside, NY 11361"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""28-43 214th Street #LOT"",""addressLocality"":""Bayside"",""addressRegion"":""NY"",""postalCode"":""11361""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.77607,""longitude"":-73.774072},""url"":""https://www.zillow.com/homedetails/28-43-214th-Street-LOT-Bayside-NY-11361/2085933475_zpid/""}",https://www.zillow.com/homedetails/28-43-214th-Street-LOT-Bayside-NY-11361/2085933475_zpid/,"28-43 214th Street #LOT, Bayside, NY 11361",28-43 214th Street #LOT,Bayside,NY,New York,11361,570000,"4,500",0.10,$126.67,sqft lot,,Sold 02/09/2019,74,Very Walkable,40.77607,-73.774072,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""214-43 39th, Bayside, NY 11361"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""214-43 39th"",""addressLocality"":""Bayside"",""addressRegion"":""NY"",""postalCode"":""11361""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.765984,""longitude"":-73.769358},""url"":""https://www.zillow.com/homedetails/214-43-39th-Bayside-NY-11361/2082554321_zpid/""}",https://www.zillow.com/homedetails/214-43-39th-Bayside-NY-11361/2082554321_zpid/,"214-43 39th, Bayside, NY 11361",214-43 39th,Bayside,NY,New York,11361,5400000,"27,443",0.63,$196.77,acres lot,,Sold 02/19/2019,94,Walker's Paradise,40.765984,-73.769358,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2828 Beverly Glen Blvd, Bel Air, CA 90077"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2828 Beverly Glen Blvd"",""addressLocality"":""Bel Air"",""addressRegion"":""CA"",""postalCode"":""90077""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.1253,""longitude"":-118.4455},""url"":""https://www.zillow.com/homedetails/2828-Beverly-Glen-Blvd-Bel-Air-CA-90077/2086623724_zpid/""}",https://www.zillow.com/homedetails/2828-Beverly-Glen-Blvd-Bel-Air-CA-90077/2086623724_zpid/,"2828 Beverly Glen Blvd, Bel Air, CA 90077",2828 Beverly Glen Blvd,Bel Air,CA,Los Angeles,90077,9900,"2,506",0.06,$3.95,sqft lot,Sold,Sold 10/07/2018,53,Somewhat Walkable,34.1253,-118.4455,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""0 Rial, Bel Air, CA 90077"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""0 Rial"",""addressLocality"":""Bel Air"",""addressRegion"":""CA"",""postalCode"":""90077""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.1021,""longitude"":-118.4521},""url"":""https://www.zillow.com/homedetails/0-Rial-Bel-Air-CA-90077/2086446982_zpid/""}",https://www.zillow.com/homedetails/0-Rial-Bel-Air-CA-90077/2086446982_zpid/,"0 Rial, Bel Air, CA 90077",Rial,Bel Air,CA,Los Angeles,90077,10000,"2,550",0.06,$3.92,sqft lot,Sold,Sold 01/09/2019,7,Car-Dependent,34.1021,-118.4521,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
